Species Name ,Order,Brain Mass (g),Cranial Capacity (cc),Body Mass (g),EQ,Independent contrast derived EQ,PGLS-ML dervived EQ,Reference,Notes
Geomys pinetis,Rodentia,2.51,2.42,313.50,0.61,0.06682188,0.622619366,Hafner 1984,
Marmota monax,Rodentia,10.83,10.45,3624.75,0.43,0.061573368,0.618943634,Mace 1981; Spitzka 1903; Silva & Downing 1995,
Saccostomus campestris,Rodentia,0.82,0.79,49.35,0.80,0.070180929,0.61749236,Mace 1981; Silva & Downing 1995,
Nannospalax ehrenbergi,Rodentia,1.88,1.81,197.00,0.65,0.06717677,0.61697582,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Liomys salvini,Rodentia,0.77,0.74,44.90,0.80,0.069950809,0.613667256,Mace 1981,
Chaetodipus hispidus,Rodentia,0.68,0.66,37.10,0.82,0.069871887,0.609359571,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Galea musteloides,Rodentia,2.72,2.63,375.00,0.58,0.064747743,0.606652754,Mace 1981,
Geomys bursarius,Rodentia,1.83,1.76,197.25,0.63,0.065269295,0.599480444,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rattus exulans,Rodentia,0.89,0.86,60.30,0.75,0.067124218,0.594277995,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Thomomys talpoides,Rodentia,1.24,1.20,105.65,0.69,0.065865215,0.593357776,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus montanus,Rodentia,0.69,0.67,39.70,0.79,0.067745701,0.592058768,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Rhabdomys pumilio,Rodentia,0.69,0.67,39.71,0.79,0.067735448,0.591973565,Mace 1981; Silva & Downing 1995,
Arvicola terrestris,Rodentia,1.64,1.58,168.30,0.64,0.064722343,0.591539035,Mace 1981,
Neotoma micropus,Rodentia,2.66,2.57,378.30,0.57,0.062970387,0.590160125,Mace 1981,
Meriones hurrianae,Rodentia,0.97,0.94,71.30,0.72,0.065817548,0.585744267,Mace 1981,
Beamys hindei,Rodentia,1.11,1.07,89.75,0.69,0.065136991,0.583837968,Mace 1981; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Megadontomys thomasi,Rodentia,1.26,1.22,111.00,0.67,0.064660819,0.583400488,Mace & Eisenberg 1982; Silva & Downing 1995,
Cryptomys hottentotus,Rodentia,1.17,1.13,98.40,0.68,0.064785142,0.582342965,Mace 1981,
Ondatra zibethicus,Rodentia,5.03,4.86,1136.45,0.47,0.059481948,0.576803405,Crile & Quiring 1940; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus ochrogaster,Rodentia,0.71,0.69,43.80,0.76,0.065517549,0.574333188,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Zapus princeps,Rodentia,0.50,0.48,24.50,0.82,0.066569557,0.573139558,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Napaeozapus insignis,Rodentia,0.48,0.46,23.20,0.82,0.066143592,0.568510482,Mace 1981,
Cricetus cricetus,Rodentia,2.20,2.12,297.00,0.56,0.060671233,0.5643634,Warncke 1908; Silva & Downing 1995,
Aethomys chrysophilus,Rodentia,1.25,1.21,117.00,0.64,0.062051773,0.560774848,Mace 1981,
Aethomys hindei,Rodentia,1.42,1.37,146.30,0.61,0.061219339,0.557098231,Mace 1981,
Tachyoryctes splendens,Rodentia,1.88,1.81,234.00,0.57,0.060263188,0.55644003,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus arvalis,Rodentia,0.55,0.53,30.40,0.77,0.0639056,0.553896435,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Otomys irroratus,Rodentia,1.38,1.33,141.00,0.61,0.060896353,0.553525521,Mace 1981,
Lagurus lagurus,Rodentia,0.42,0.41,20.10,0.80,0.063358084,0.542152777,Mace 1981,
Peromyscus melanotis,Rodentia,0.63,0.61,39.60,0.72,0.061953286,0.541394037,Mace & Eisenberg 1982; Silva & Downing 1995,
Thomomys bottae,Rodentia,1.47,1.42,162.95,0.59,0.059274069,0.541201504,"Hafner 1984, Mace 1981","Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus longicaudus,Rodentia,0.70,0.68,47.40,0.70,0.061454171,0.540033953,Mace 1981,
Clethrionomys rufocanus,Rodentia,0.61,0.59,38.30,0.72,0.061263368,0.534811332,Mace 1981,
Mesembriomys gouldii,Rodentia,4.59,4.43,1110.00,0.44,0.055091341,0.533837316,Mace 1981,
Myopus schisticolor,Rodentia,0.56,0.54,33.50,0.73,0.061200393,0.532048439,Mace 1981,
Heliophobius argenteocinereus,Rodentia,1.43,1.38,160.00,0.58,0.058264737,0.531684596,Mace 1981,
Lemmus lemmus,Rodentia,0.86,0.83,68.90,0.65,0.059628184,0.530098955,Mace 1981,
Mus platythrix,Rodentia,0.50,0.48,29.20,0.72,0.059591303,0.515858183,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Microtus guentheri,Rodentia,0.69,0.67,51.30,0.65,0.057628125,0.50765504,Mace 1981,
Aethomys namaquensis,Rodentia,0.89,0.86,79.40,0.61,0.056425151,0.503834306,Mace 1981,
Dicrostonyx torquatus,Rodentia,0.84,0.81,73.00,0.61,0.056155464,0.500121587,Mace 1981,
Marmota flaviventris,Rodentia,10.29,9.93,5000.00,0.32,0.047778748,0.485091207,Mace 1981,
Mus booduga,Rodentia,0.31,0.30,14.60,0.75,0.057216923,0.484774772,Mace 1981,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Sigmodon hispidus,Rodentia,1.14,1.10,132.50,0.53,0.052318597,0.474641114,Mace 1981,
Dicrostonyx groenlandicus,Rodentia,0.72,0.69,68.40,0.55,0.050151226,0.445747448,Mace 1981,
Bathyergus suillus,Rodentia,3.75,3.62,1175.00,0.34,0.043421701,0.42150097,Mace 1981,
Heterocephalus glaber,Rodentia,0.52,0.50,60.80,0.43,0.039014823,0.345502526,Mace 1981,
Otomys angoniensis,Rodentia,0.42,0.41,95.00,0.25,0.023777991,0.213503578,Mace 1981,
Apodemus agrarius,Rodentia,0.20,0.19,33.30,0.26,0.021940026,0.190701226,Count 1947; Silva & Downing 1995,
Tupaia minor,Scandentia,2.58,2.49,70.00,1.94,0.177105603,1.575255165,Stephan 1981; Silva & Downing 1995,
Urogale everetti,Scandentia,4.28,4.13,275.00,1.16,0.123906559,1.14983145,Stephan 1981; Silva & Downing 1995,
Tupaia glis,Scandentia,3.20,3.09,170.00,1.24,0.125489147,1.147283257,Stephan 1981; Silva & Downing 1995,
Trichechus manatus,Sirenia,364.00,351.35,756000.00,0.27,0.071223546,0.844847526,O'Shea & Reep 1990,
Myrmecophaga tridactyla,Xenarthra,84.00,81.08,18940.00,0.97,0.168314674,1.780907372,Spitzka 1903; Silva & Downing 1995,
Tamandua tetradactyla,Xenarthra,27.50,26.54,4361.00,0.95,0.139194903,1.4072494,Crile & Quiring 1940; Sherwood/this study; Silva & Downing 1995,
Bradypus tridactylus,Xenarthra,24.90,24.03,4097.00,0.90,0.131100027,1.322847555,Crile & Quiring 1940; Warncke 1908; Silva & Downing 1995,
Choloepus didactylus,Xenarthra,28.20,27.22,5070.00,0.87,0.129795174,1.318361048,Sherwood/this study; Silva & Downing 1995,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Cabassous unicinctus,Xenarthra,23.68,22.86,3930.00,0.88,0.127993955,1.289841061,Pirlot & Kamiya 1983,
Euphractus sexcinctus,Xenarthra,33.50,32.34,7990.00,0.73,0.115719686,1.192083755,Warncke 1908,
Choloepus hoffmanni,Xenarthra,24.54,23.68,5048.00,0.76,0.113236702,1.150017595,Crile & Quiring 1940,
Bradypus variegatus,Xenarthra,16.03,15.48,3263.00,0.68,0.097454278,0.976435606,Crile & Quiring 1940,"Corrected body mass for Mace 1981 dataset, see Isler & van Schaik 2006"
Dasypus novemcinctus,Xenarthra,8.50,8.20,2743.50,0.41,0.057639201,0.574415271,Crile & Quiring 1940,
